customer_id,segment_name,Recency,Frequency,Monetary,ticket_count,return_rate,sessions_30d,campaign_clicks_30d,loyalty_tier
CUST00047,Dormant Customers,265,1,764.43,,0.0,2,1,Gold
CUST00048,Discount Sensitive,11,5,2860.14,1.0,0.2,12,0,Silver
CUST00049,Discount Sensitive,39,2,1172.61,,0.5,4,1,
CUST00050,Discount Sensitive,56,4,3169.58,1.0,0.25,3,1,Gold
CUST00051,High Value But Unhappy,271,4,4444.3,2.0,0.0,6,2,
CUST00052,Regular Customers,116,3,2807.14,1.0,0.3333333333333333,7,0,Silver
CUST00053,High Value But Unhappy,10,6,5422.92,2.0,0.0,9,1,Silver
CUST00054,Regular Customers,23,2,1154.37,,0.5,3,0,
CUST00055,Loyal Customers,1,4,1707.24,1.0,0.0,6,2,
CUST00056,Discount Sensitive,53,5,4169.73,1.0,0.0,3,0,
CUST00057,Dormant Customers,197,2,2510.83,,0.0,7,1,
CUST00058,Loyal Customers,49,5,3930.75,,0.0,2,4,
CUST00059,Discount Sensitive,9,5,5050.94,,0.0,3,0,Silver
CUST00060,Discount Sensitive,206,1,293.22,,0.0,5,0,
CUST00061,Discount Sensitive,3,5,2511.7200000000003,1.0,0.0,4,1,
CUST00062,Loyal Customers,50,5,3135.08,1.0,0.0,9,1,Silver
CUST00063,Dormant Customers,277,1,397.69,1.0,0.0,0,0,
CUST00064,Discount Sensitive,27,3,1634.0,,0.0,8,0,
CUST00065,Loyal Customers,1,4,3966.91,,0.0,3,2,
CUST00066,Discount Sensitive,381,5,4598.95,1.0,0.0,11,1,
CUST00067,Regular Customers,124,2,1246.44,1.0,0.5,1,2,Silver
CUST00068,Dormant Customers,407,3,2123.66,1.0,0.3333333333333333,5,1,Silver
CUST00069,Regular Customers,90,2,874.47,,0.0,9,1,
CUST00070,Discount Sensitive,99,1,542.98,,0.0,1,0,Gold
CUST00071,Regular Customers,93,1,2062.5,1.0,0.0,1,2,
CUST00072,Regular Customers,151,4,2587.02,,0.0,7,1,
CUST00073,Loyal Customers,45,7,6253.77,,0.0,7,1,
CUST00074,Discount Sensitive,26,5,2884.48,1.0,0.2,14,1,Platinum
CUST00075,High Value But Unhappy,44,11,7714.719999999999,4.0,0.0,10,0,
CUST00076,Loyal Customers,1,4,2888.0299999999997,,0.0,17,0,
CUST00077,Discount Sensitive,170,1,394.32,,0.0,0,0,
CUST00078,Discount Sensitive,200,1,894.45,1.0,1.0,5,0,
CUST00079,Dormant Customers,252,1,619.57,,0.0,2,0,Silver
CUST00080,Loyal Customers,8,4,2832.98,,0.0,11,0,Gold
CUST00081,High Value But Unhappy,41,9,5805.78,3.0,0.2222222222222222,12,0,Silver
CUST00082,Dormant Customers,315,3,1671.25,,0.0,7,3,
CUST00083,Discount Sensitive,150,2,806.87,1.0,0.5,9,0,
CUST00084,Dormant Customers,228,1,1273.18,,0.0,11,1,Silver
CUST00085,Regular Customers,75,1,1257.8,,0.0,8,0,
CUST00086,Loyal Customers,40,6,3003.66,1.0,0.0,7,2,Silver
CUST00087,Loyal Customers,28,4,3610.9700000000003,,0.25,1,0,
CUST00088,Discount Sensitive,159,12,6774.5,1.0,0.0,9,0,Gold
CUST00089,Dormant Customers,226,2,2825.75,,0.0,12,3,
CUST00090,Discount Sensitive,50,5,2498.83,1.0,0.0,5,0,Platinum
CUST00091,Loyal Customers,18,5,5844.34,1.0,0.2,9,0,Platinum
CUST00092,Discount Sensitive,34,2,1155.25,,0.0,1,0,
CUST00093,Regular Customers,146,1,759.64,,0.0,16,4,Gold
CUST00094,Dormant Customers,244,4,3557.43,2.0,0.0,6,1,
CUST00095,Discount Sensitive,126,1,372.65,1.0,0.0,10,1,
CUST00096,Discount Sensitive,45,4,2403.64,1.0,0.25,12,0,
CUST00097,High Value But Unhappy,29,8,5040.67,2.0,0.125,0,0,
CUST00098,Dormant Customers,245,2,1843.57,1.0,0.0,8,0,
CUST00099,Loyal Customers,45,6,3861.8199999999997,1.0,0.0,4,2,
CUST00100,Regular Customers,3,3,2209.4,,0.3333333333333333,1,0,
CUST00101,Discount Sensitive,169,5,3514.87,2.0,0.0,2,0,
CUST00102,Regular Customers,18,2,2048.62,,0.0,2,0,
CUST00103,Regular Customers,7,3,2581.31,,0.0,6,1,
CUST00104,Discount Sensitive,154,1,955.63,,0.0,3,0,
CUST00105,Regular Customers,40,2,2846.2999999999997,,0.0,1,0,
CUST00106,Discount Sensitive,122,7,4352.11,1.0,0.0,5,0,
CUST00107,Loyal Customers,32,4,3891.05,,0.0,2,0,
CUST00108,Regular Customers,105,1,1074.5,1.0,1.0,5,0,
CUST00109,Discount Sensitive,60,6,4566.15,,0.0,1,1,Silver
CUST00110,Champions,96,6,3922.07,2.0,0.0,4,0,
CUST00111,Dormant Customers,239,1,1135.09,,0.0,3,0,Silver
CUST00112,High Value But Unhappy,34,9,6542.4,1.0,0.2222222222222222,4,0,
CUST00113,Discount Sensitive,8,3,2095.48,,0.0,17,0,Silver
CUST00114,Dormant Customers,300,6,5133.53,1.0,0.0,3,1,
CUST00115,Dormant Customers,220,1,596.54,1.0,0.0,12,2,Gold
CUST00116,Dormant Customers,204,6,5635.9,,0.0,10,2,
CUST00117,Dormant Customers,184,4,2534.33,,0.0,2,0,Silver
CUST00118,Loyal Customers,14,4,2001.17,,0.0,2,0,Silver
CUST00119,Discount Sensitive,6,6,4466.32,1.0,0.0,12,0,
CUST00120,Regular Customers,32,2,755.8399999999999,,0.0,6,0,Silver
CUST00121,Regular Customers,23,3,3028.88,,0.0,5,1,Gold
CUST00122,Discount Sensitive,167,2,2048.93,,0.0,10,4,Gold
CUST00123,Discount Sensitive,29,7,3742.48,3.0,0.14285714285714285,2,0,Silver
CUST00124,Discount Sensitive,255,4,2570.5,,0.0,5,0,
CUST00125,Discount Sensitive,17,3,2455.21,,0.3333333333333333,0,1,
CUST00126,Discount Sensitive,118,2,1260.02,,0.0,5,0,Silver
CUST00127,Discount Sensitive,18,3,1136.12,,0.0,3,0,Silver
CUST00128,Discount Sensitive,6,3,2233.06,,0.0,15,0,
CUST00129,Discount Sensitive,32,5,4049.54,2.0,0.2,7,0,
CUST00130,Discount Sensitive,57,2,1850.58,,0.0,9,0,Gold
CUST00131,Discount Sensitive,128,6,6830.01,,0.0,4,0,
CUST00132,Discount Sensitive,178,5,4876.780000000001,,0.0,1,0,
CUST00133,Discount Sensitive,12,10,7152.29,1.0,0.1,5,1,
CUST00134,High Value But Unhappy,19,6,4696.0199999999995,3.0,0.16666666666666666,11,0,
CUST00135,Discount Sensitive,394,4,2534.18,,0.0,3,1,
CUST00136,Discount Sensitive,132,1,514.9,,0.0,7,0,Gold
CUST00137,Discount Sensitive,238,2,1035.87,,0.0,4,0,Silver
CUST00138,Regular Customers,36,2,1424.6100000000001,,0.5,5,1,
CUST00139,Discount Sensitive,14,4,3008.66,2.0,0.0,5,0,
CUST00140,Discount Sensitive,33,5,4083.36,2.0,0.0,14,0,
CUST00141,Regular Customers,20,2,1055.28,,0.0,4,1,
CUST00142,Discount Sensitive,230,5,1880.0,,0.0,2,0,
CUST00143,Loyal Customers,51,7,7890.950000000001,,0.0,5,1,Silver
CUST00144,High Value But Unhappy,42,10,8510.65,3.0,0.1,8,2,Gold
CUST00145,Regular Customers,91,1,502.35,,0.0,0,0,
CUST00146,Loyal Customers,6,6,6990.9400000000005,1.0,0.16666666666666666,4,1,Silver
CUST00147,Loyal Customers,27,4,3412.56,1.0,0.0,1,0,Platinum
CUST00148,Loyal Customers,15,5,3702.7,1.0,0.2,5,1,
CUST00149,Regular Customers,10,3,2362.6400000000003,,0.3333333333333333,8,0,
CUST00150,Discount Sensitive,35,5,2641.09,,0.0,6,2,
CUST00151,High Value But Unhappy,44,8,6240.6,3.0,0.0,7,0,
CUST00152,High Value But Unhappy,10,8,5508.0,4.0,0.125,19,3,Silver
CUST00153,Discount Sensitive,26,3,1619.74,,0.0,6,0,Gold
CUST00154,Loyal Customers,42,10,8542.89,,0.0,8,0,Gold
CUST00155,Discount Sensitive,32,4,2343.2799999999997,,0.0,6,0,
CUST00156,High Value But Unhappy,28,3,4831.42,1.0,0.3333333333333333,14,0,
CUST00157,Regular Customers,61,5,2269.91,1.0,0.0,3,1,
CUST00158,Dormant Customers,216,1,812.34,,0.0,8,1,
CUST00159,Dormant Customers,535,2,3713.77,,0.0,0,0,Silver
CUST00160,Discount Sensitive,238,2,1064.66,1.0,0.0,4,0,
CUST00161,Loyal Customers,14,7,6171.42,,0.14285714285714285,7,1,Silver
CUST00162,Discount Sensitive,152,2,1194.5900000000001,,0.0,2,0,Gold
CUST00163,Discount Sensitive,22,2,1100.06,,0.0,3,2,Silver
CUST00164,Dormant Customers,283,5,4657.03,1.0,0.0,1,0,Platinum
CUST00165,Loyal Customers,37,4,2287.08,,0.0,2,0,Gold
CUST00166,Regular Customers,38,3,3227.7,1.0,0.0,1,0,Silver
CUST00167,Dormant Customers,280,1,423.24,,0.0,0,1,
CUST00168,Loyal Customers,13,5,4794.47,,0.0,2,0,Platinum
CUST00169,Dormant Customers,283,1,1799.45,,0.0,1,0,Gold
CUST00170,Loyal Customers,17,12,7634.5599999999995,1.0,0.0,5,0,
CUST00171,Loyal Customers,31,4,3416.04,,0.25,9,0,
CUST00172,High Value But Unhappy,45,8,6232.719999999999,3.0,0.0,5,2,Silver
CUST00173,Discount Sensitive,43,6,2018.8200000000002,1.0,0.0,10,0,
CUST00174,Discount Sensitive,3,7,3507.37,2.0,0.14285714285714285,14,0,Gold
CUST00175,Regular Customers,120,4,3568.3199999999997,1.0,0.0,5,0,
CUST00176,High Value But Unhappy,10,4,6283.41,,0.25,12,0,
CUST00177,Discount Sensitive,13,5,5158.25,,0.0,12,0,
CUST00178,High Value But Unhappy,33,9,5965.32,4.0,0.2222222222222222,10,0,
CUST00179,Discount Sensitive,36,4,1767.07,2.0,0.25,11,2,Silver
CUST00180,Regular Customers,157,2,1570.85,1.0,0.5,9,0,
CUST00181,Regular Customers,35,2,1815.8899999999999,,0.5,7,1,Silver
CUST00182,Discount Sensitive,60,2,672.78,,0.5,12,0,
CUST00183,Dormant Customers,213,3,3246.8900000000003,1.0,0.0,1,1,
CUST00184,High Value But Unhappy,75,5,5072.85,2.0,0.0,6,0,Platinum
CUST00185,Discount Sensitive,25,9,5475.0,,0.0,11,1,
CUST00186,Regular Customers,16,2,2279.63,1.0,0.0,2,0,Platinum
CUST00187,Discount Sensitive,53,4,2223.79,1.0,0.0,0,1,
CUST00188,High Value But Unhappy,90,7,5810.17,3.0,0.14285714285714285,11,0,Gold
CUST00189,High Value But Unhappy,4,11,8207.06,3.0,0.09090909090909091,10,0,
CUST00190,Regular Customers,18,2,854.78,1.0,0.0,6,0,
CUST00191,Discount Sensitive,9,3,945.03,,0.0,6,0,Silver
CUST00192,Discount Sensitive,2,6,3657.1499999999996,,0.16666666666666666,8,1,
CUST00193,Dormant Customers,218,1,424.74,,0.0,3,2,
CUST00194,Discount Sensitive,3,6,4197.11,3.0,0.3333333333333333,13,3,
CUST00195,Discount Sensitive,3,2,1955.96,1.0,0.0,5,0,
CUST00196,Discount Sensitive,85,2,1272.38,1.0,0.0,1,0,
CUST00197,High Value But Unhappy,9,12,11523.66,3.0,0.08333333333333333,11,0,Silver
CUST00198,High Value But Unhappy,26,10,7958.04,2.0,0.0,1,1,Silver
CUST00199,Loyal Customers,49,5,4359.83,1.0,0.0,3,0,Silver
CUST00200,Loyal Customers,26,9,7636.45,1.0,0.0,7,4,Gold
CUST00201,High Value But Unhappy,154,7,6691.56,2.0,0.0,3,0,
CUST00202,Discount Sensitive,48,2,2363.2200000000003,,0.5,9,1,
CUST00203,Discount Sensitive,175,2,743.3499999999999,,0.0,6,0,
CUST00204,Discount Sensitive,47,6,3646.77,,0.0,17,0,Platinum
CUST00205,Loyal Customers,7,6,3610.58,,0.0,13,0,
CUST00206,High Value But Unhappy,179,10,6479.7,3.0,0.1,7,2,Gold
CUST00207,Discount Sensitive,79,1,193.1,,0.0,11,2,
CUST00208,Champions,152,6,6865.35,1.0,0.0,2,1,
CUST00209,Dormant Customers,340,5,3422.88,1.0,0.2,3,0,
CUST00210,Dormant Customers,189,2,1254.8700000000001,,0.0,3,0,
CUST00211,Discount Sensitive,28,7,27920.05,1.0,0.0,4,0,
CUST00212,Discount Sensitive,265,3,2071.6800000000003,,0.0,3,1,
CUST00213,Regular Customers,147,2,1680.61,2.0,1.0,2,0,
CUST00214,Regular Customers,125,1,1427.16,,0.0,3,0,
CUST00215,Regular Customers,95,3,1564.1,1.0,0.0,8,2,Silver
CUST00216,Regular Customers,109,1,1349.42,1.0,1.0,7,0,Silver
CUST00217,Discount Sensitive,140,3,1179.94,,0.0,2,0,Silver
CUST00218,Loyal Customers,15,4,2728.57,,0.25,1,0,
CUST00219,Discount Sensitive,215,6,2782.79,1.0,0.0,3,1,Silver
CUST00220,Loyal Customers,19,4,1750.5,1.0,0.0,14,2,
CUST00221,Discount Sensitive,9,3,1357.66,,0.0,16,2,
CUST00222,Discount Sensitive,247,2,1259.5,1.0,0.0,1,0,
CUST00223,Discount Sensitive,164,1,757.58,1.0,0.0,1,0,Silver
CUST00224,Discount Sensitive,8,4,3249.04,1.0,0.25,1,1,
CUST00225,Discount Sensitive,149,3,3012.6,,0.0,3,0,Silver
CUST00226,Loyal Customers,5,4,3683.7,1.0,0.25,6,0,Silver
CUST00227,High Value But Unhappy,214,6,4383.02,2.0,0.16666666666666666,0,0,Silver
CUST00228,Discount Sensitive,143,7,4150.72,2.0,0.14285714285714285,6,2,Silver
CUST00229,Discount Sensitive,153,5,3077.41,1.0,0.0,8,0,Silver
CUST00230,High Value But Unhappy,16,9,8646.32,2.0,0.0,17,1,
CUST00231,Loyal Customers,22,4,2330.3900000000003,,0.0,6,0,
CUST00232,Regular Customers,8,3,3010.99,,0.0,2,0,
CUST00233,Discount Sensitive,422,3,1626.9899999999998,,0.0,5,1,
CUST00234,Loyal Customers,35,7,5988.42,,0.0,6,0,
CUST00235,Loyal Customers,13,5,3186.58,,0.0,2,0,
CUST00236,Discount Sensitive,18,2,1796.52,1.0,0.0,8,0,
CUST00237,Loyal Customers,30,5,4240.2,,0.0,8,1,Platinum
CUST00238,Regular Customers,57,3,3798.2000000000003,2.0,0.3333333333333333,1,0,
CUST00239,Discount Sensitive,381,1,208.1,,0.0,4,0,Silver
CUST00240,Regular Customers,18,3,2710.16,1.0,0.0,4,0,Silver
CUST00241,Discount Sensitive,7,4,4566.46,,0.0,12,1,
CUST00242,Discount Sensitive,16,7,4040.24,,0.14285714285714285,11,5,
CUST00243,Discount Sensitive,130,4,3129.06,1.0,0.25,3,0,Gold
CUST00244,Dormant Customers,205,2,2449.86,,0.0,1,0,
CUST00245,Discount Sensitive,9,5,3729.23,,0.0,6,4,Platinum
CUST00246,Loyal Customers,34,5,3071.41,1.0,0.2,6,1,Silver
CUST00247,High Value But Unhappy,118,11,5611.35,3.0,0.0,5,2,
CUST00248,Discount Sensitive,53,8,4617.07,,0.0,2,0,
CUST00249,Discount Sensitive,223,3,1761.46,,0.0,5,1,Silver
CUST00250,Discount Sensitive,37,2,1335.96,,0.0,6,0,Silver
CUST00251,Discount Sensitive,102,1,966.73,1.0,1.0,14,0,
CUST00252,Discount Sensitive,251,6,5194.02,,0.0,4,2,Silver
CUST00253,Dormant Customers,252,3,1901.1299999999999,,0.0,3,1,Platinum
CUST00254,Discount Sensitive,244,4,3041.57,,0.0,4,1,
CUST00255,High Value But Unhappy,50,7,5070.56,2.0,0.14285714285714285,10,1,
CUST00256,Dormant Customers,242,2,1727.8400000000001,1.0,0.0,1,0,
CUST00257,Discount Sensitive,51,3,1361.41,,0.0,7,0,
CUST00258,Loyal Customers,36,11,6740.7300000000005,1.0,0.0,7,0,
CUST00259,Discount Sensitive,253,1,1519.33,,0.0,0,0,
CUST00260,Discount Sensitive,14,3,2237.58,,0.0,7,0,
CUST00261,Discount Sensitive,7,3,2884.77,,0.0,0,0,
CUST00262,Regular Customers,10,3,1649.48,,0.0,5,0,Silver
CUST00263,High Value But Unhappy,50,13,8211.17,6.0,0.23076923076923078,15,2,Platinum
CUST00264,Discount Sensitive,92,2,671.0999999999999,1.0,0.0,7,1,Silver
CUST00265,Regular Customers,10,3,1918.74,,0.0,7,0,Gold
CUST00266,High Value But Unhappy,219,4,5306.62,2.0,0.25,1,0,
CUST00267,Regular Customers,90,4,4026.2300000000005,2.0,0.25,8,0,
CUST00268,Discount Sensitive,40,4,4982.92,1.0,0.0,6,1,
CUST00269,Discount Sensitive,34,4,3130.84,1.0,0.0,11,1,
CUST00270,Loyal Customers,14,4,3158.67,,0.25,8,2,Silver
CUST00271,Loyal Customers,10,6,5326.4,,0.0,1,0,
CUST00272,Loyal Customers,54,14,14120.16,,0.0,7,0,Gold
CUST00273,High Value But Unhappy,23,9,6554.51,4.0,0.1111111111111111,7,1,
CUST00274,Regular Customers,56,2,1003.95,,0.0,1,0,
CUST00275,Dormant Customers,302,6,3879.21,1.0,0.0,5,1,Silver
CUST00276,Loyal Customers,10,7,9212.91,,0.0,9,1,Silver
CUST00277,Loyal Customers,6,4,2222.75,,0.25,2,0,Silver
CUST00278,Regular Customers,130,4,2768.06,2.0,0.0,7,0,
CUST00279,Discount Sensitive,40,10,6562.58,1.0,0.0,9,2,
CUST00280,Loyal Customers,53,9,7889.99,,0.0,6,0,
CUST00281,Discount Sensitive,96,2,1161.06,,0.0,3,0,
CUST00282,Discount Sensitive,357,2,774.76,1.0,0.0,1,0,
CUST00283,High Value But Unhappy,42,11,8318.05,4.0,0.18181818181818182,8,0,Silver
CUST00284,Discount Sensitive,352,2,781.62,,0.0,1,1,Silver
CUST00285,Discount Sensitive,23,5,2538.27,,0.0,10,0,
CUST00286,Discount Sensitive,430,2,2027.25,1.0,0.0,1,1,Silver
CUST00287,Loyal Customers,40,7,6816.38,1.0,0.0,8,1,Silver
CUST00288,Regular Customers,171,2,1096.1,1.0,0.0,1,0,
CUST00289,Discount Sensitive,56,3,1303.02,,0.0,5,0,
CUST00290,Regular Customers,59,2,878.26,1.0,0.0,6,0,Silver
CUST00291,High Value But Unhappy,119,9,5604.34,3.0,0.2222222222222222,4,1,Gold
CUST00292,Loyal Customers,8,4,3132.6,1.0,0.25,6,2,
CUST00293,Discount Sensitive,291,3,1699.71,,0.0,3,0,Gold
CUST00294,Regular Customers,35,3,3612.55,,0.0,15,6,Platinum
CUST00295,Discount Sensitive,11,5,4296.54,,0.0,2,0,
CUST00296,Dormant Customers,193,4,1989.83,,0.0,2,0,Gold
CUST00297,Dormant Customers,215,1,1130.29,1.0,0.0,13,2,Platinum
CUST00298,Dormant Customers,262,1,1122.99,,0.0,6,2,
CUST00299,Discount Sensitive,404,4,2302.1800000000003,2.0,0.25,0,0,
CUST00300,Discount Sensitive,48,5,2586.24,,0.0,5,0,Platinum
CUST00301,High Value But Unhappy,27,9,7935.46,3.0,0.0,7,0,Gold
CUST00302,Discount Sensitive,209,4,2534.0,3.0,0.25,4,2,Silver
CUST00303,High Value But Unhappy,15,8,5373.69,2.0,0.125,6,1,
CUST00304,Regular Customers,148,3,2837.27,1.0,0.0,4,3,
CUST00305,Dormant Customers,227,1,531.59,,0.0,6,0,Silver
CUST00306,High Value But Unhappy,47,6,5851.889999999999,2.0,0.16666666666666666,2,2,
CUST00307,Discount Sensitive,93,3,2114.17,1.0,0.3333333333333333,0,0,Gold
CUST00308,Regular Customers,43,3,2518.37,,0.0,7,1,Platinum
CUST00309,Discount Sensitive,69,3,2731.6099999999997,,0.0,13,1,
CUST00310,Regular Customers,22,2,1126.21,1.0,0.5,5,0,
CUST00311,Regular Customers,109,1,1336.82,,0.0,4,0,Silver
CUST00312,Regular Customers,125,1,486.27,,0.0,9,0,
CUST00313,Discount Sensitive,223,1,769.77,1.0,0.0,16,0,
CUST00314,Discount Sensitive,77,1,560.98,,0.0,0,0,
CUST00315,High Value But Unhappy,5,12,11129.380000000001,2.0,0.0,11,4,Platinum
CUST00316,Discount Sensitive,158,2,1079.82,1.0,0.5,1,2,Silver
CUST00317,Regular Customers,161,1,1353.24,,0.0,8,0,
CUST00318,Loyal Customers,56,6,6278.88,1.0,0.0,2,0,Silver
CUST00319,Discount Sensitive,208,6,2585.4700000000003,,0.0,0,0,Silver
CUST00320,Discount Sensitive,50,8,5389.51,1.0,0.0,10,1,
CUST00321,Discount Sensitive,177,6,3100.54,2.0,0.0,1,2,Silver
CUST00322,Discount Sensitive,46,6,3582.34,,0.0,5,0,Silver
CUST00323,Discount Sensitive,27,9,7552.84,,0.0,6,0,Gold
CUST00324,High Value But Unhappy,335,4,6039.5599999999995,2.0,0.25,0,0,
CUST00325,Loyal Customers,3,4,3975.12,,0.0,6,1,
CUST00326,Dormant Customers,185,3,1868.65,1.0,0.0,7,3,Platinum
CUST00327,Discount Sensitive,63,3,1087.67,,0.0,7,1,Gold
CUST00328,Discount Sensitive,383,1,371.68,,0.0,2,0,
CUST00329,Loyal Customers,8,4,2102.61,,0.0,1,0,Gold
CUST00330,Discount Sensitive,26,4,1658.54,1.0,0.0,1,0,Gold
CUST00331,Discount Sensitive,212,5,3450.66,2.0,0.2,1,0,Silver
CUST00332,High Value But Unhappy,19,4,4830.33,2.0,0.25,0,0,Silver
CUST00333,Regular Customers,30,2,1205.58,,0.0,3,0,
CUST00334,Discount Sensitive,146,3,2170.31,1.0,0.3333333333333333,2,0,Silver
CUST00335,Discount Sensitive,18,4,2833.44,2.0,0.25,7,1,
CUST00336,Loyal Customers,5,7,3979.4700000000003,,0.0,5,0,
CUST00337,Discount Sensitive,68,2,1887.73,1.0,0.0,2,0,
CUST00338,Regular Customers,19,2,1364.21,1.0,0.5,6,0,
CUST00339,Discount Sensitive,28,5,3070.33,1.0,0.2,13,0,Silver
CUST00340,Loyal Customers,47,10,6781.87,1.0,0.1,8,1,Gold
CUST00341,Discount Sensitive,24,2,1262.52,,0.0,11,0,
CUST00342,Discount Sensitive,1,4,3043.19,1.0,0.0,9,0,Gold
CUST00343,Loyal Customers,52,6,2874.94,,0.0,7,1,
CUST00344,High Value But Unhappy,33,6,4985.95,4.0,0.0,5,0,Silver
CUST00345,Loyal Customers,45,6,6318.72,1.0,0.0,15,0,Silver
CUST00346,High Value But Unhappy,60,12,10622.109999999999,2.0,0.16666666666666666,13,1,
CUST00347,Discount Sensitive,245,4,3311.46,1.0,0.0,8,1,
CUST00348,Discount Sensitive,43,4,3043.55,,0.0,14,2,Silver
CUST00349,Loyal Customers,15,6,5889.18,,0.16666666666666666,2,0,Silver
CUST00350,Regular Customers,1,3,2121.43,,0.0,18,0,
CUST00351,High Value But Unhappy,14,8,8615.57,3.0,0.125,4,0,Silver
CUST00352,Discount Sensitive,23,3,2352.36,,0.3333333333333333,13,1,Silver
CUST00353,Regular Customers,179,4,1755.1200000000001,1.0,0.0,4,1,
CUST00354,Loyal Customers,25,6,3470.21,1.0,0.0,4,1,
CUST00355,Dormant Customers,232,4,3405.2,2.0,0.0,4,2,Gold
CUST00356,Loyal Customers,22,6,3137.74,2.0,0.0,10,1,
CUST00357,Discount Sensitive,103,1,513.15,1.0,0.0,9,1,Silver
CUST00358,Discount Sensitive,162,2,1523.3600000000001,1.0,0.0,4,0,
CUST00359,Loyal Customers,30,9,6910.4,,0.1111111111111111,0,0,
CUST00360,Loyal Customers,33,8,9265.23,,0.0,1,0,
CUST00361,Dormant Customers,230,1,361.04,1.0,1.0,3,1,
CUST00362,Discount Sensitive,13,6,3159.8599999999997,1.0,0.16666666666666666,12,0,Gold
CUST00363,Regular Customers,34,3,1780.5900000000001,1.0,0.3333333333333333,2,0,
CUST00364,Dormant Customers,420,3,2049.88,2.0,0.0,0,0,
CUST00365,Dormant Customers,219,1,1015.06,,0.0,7,0,
CUST00366,Loyal Customers,38,6,6762.91,1.0,0.0,2,0,
CUST00367,Dormant Customers,273,1,884.81,,0.0,1,1,Silver
CUST00368,Regular Customers,116,1,348.81,1.0,1.0,7,0,
CUST00369,Regular Customers,132,3,2263.62,,0.0,7,1,
CUST00370,Discount Sensitive,233,1,452.14,,0.0,8,1,Platinum
CUST00371,Dormant Customers,185,3,2631.54,1.0,0.0,4,0,
